no,question,intent,tables,columns,filters,joins
1,List all products,Retrieve all product records,products,*,None,None
2,Get all customers,Retrieve all customer records,customers,*,None,None
3,Show all orders,Retrieve all order records,orders,*,None,None
4,List all employees,Retrieve all employee records,employees,*,None,None
5,Get all offices,Retrieve all office records,offices,*,None,None
6,Show all product lines,Retrieve all product line records,productlines,*,None,None
7,List all payments,Retrieve all payment records,payments,*,None,None
8,Get product names and prices,Retrieve product names with buy price and MSRP,products,"productName, buyPrice, MSRP",None,None
9,Get customer names and cities,Retrieve customer names and cities,customers,"customerName, city",None,None
10,List employee first and last names,Retrieve employee first and last names,employees,"firstName, lastName",None,None
11,Get all order dates,Retrieve order dates,orders,"orderDate, requiredDate, shippedDate",None,None
12,Show product vendor list,Retrieve product vendor names,products,productVendor,None,None
13,Get all product codes,Retrieve all product codes,products,productCode,None,None
14,List all countries from offices,Retrieve countries where offices are located,offices,country,None,None
15,Show all order statuses,Retrieve all unique order statuses,orders,status,None,None
16,Get all payment amounts,Retrieve payment amounts,payments,amount,None,None
17,List all job titles,Retrieve unique job titles,employees,jobTitle,None,None
18,Get customer phone numbers,Retrieve customer names and phone numbers,customers,"customerName, phone",None,None
19,Show product MSRP values,Retrieve product names and MSRP values,products,"productName, MSRP",None,None
20,List order numbers,Retrieve order numbers,orders,orderNumber,None,None
21,Get orders with customer names,Retrieve orders with customer names,"orders, customers","orderNumber, orderDate, status, customerName",None,"orders.""customerNumber"" = customers.""customerNumber"""
22,Get employees with office city,Retrieve employees with office city,"employees, offices","firstName, lastName, city",None,"employees.""officeCode"" = offices.""officeCode"""
23,Get payments with customer names,Retrieve payments with customer names,"payments, customers","checkNumber, paymentDate, amount, customerName",None,"payments.""customerNumber"" = customers.""customerNumber"""
24,Get order details with product names,Retrieve order details with product names,"orderdetails, products","orderNumber, productName, quantityOrdered, priceEach",None,"orderdetails.""productCode"" = products.""productCode"""
25,Get products with product line description,Retrieve products with product line descriptions,"products, productlines","productName, productLine, textDescription",None,"products.""productLine"" = productlines.""productLine"""
26,Get customers with sales rep names,Retrieve customers with assigned sales representative names,"customers, employees","customerName, firstName, lastName",None,"customers.""salesRepEmployeeNumber"" = employees.""employeeNumber"""
27,Get orders with customer city,Retrieve orders with customer city,"orders, customers","orderNumber, orderDate, status, city",None,"orders.""customerNumber"" = customers.""customerNumber"""
28,Get employees and their manager,Retrieve employees with their manager names,employees,"employee firstName, employee lastName, manager firstName, manager lastName",None,"employees.""reportsTo"" = manager.""employeeNumber"" self join"
29,Get orderdetails with product vendor,Retrieve order details with product vendor,"orderdetails, products","orderNumber, productCode, productVendor, quantityOrdered",None,"orderdetails.""productCode"" = products.""productCode"""
30,Get payments with customer country,Retrieve payments with customer country,"payments, customers","checkNumber, paymentDate, amount, country",None,"payments.""customerNumber"" = customers.""customerNumber"""
31,Count customers per country,Count customers grouped by country,customers,"country, COUNT(customerNumber)",None,None
32,Total payments per customer,Calculate total payment amount per customer,"payments, customers","customerName, SUM(amount)",None,"payments.""customerNumber"" = customers.""customerNumber"""
33,Number of orders per status,Count orders grouped by status,orders,"status, COUNT(orderNumber)",None,None
34,Products per product line,Count products grouped by product line,products,"productLine, COUNT(productCode)",None,None
35,Employees per office,Count employees grouped by office,"employees, offices","officeCode, city, COUNT(employeeNumber)",None,"employees.""officeCode"" = offices.""officeCode"""
36,Total stock per product vendor,Calculate total stock grouped by product vendor,products,"productVendor, SUM(quantityInStock)",None,None
37,Average buy price per product line,Calculate average buy price grouped by product line,products,"productLine, AVG(buyPrice)",None,None
38,Orders per customer,Count orders grouped by customer,"orders, customers","customerName, COUNT(orderNumber)",None,"orders.""customerNumber"" = customers.""customerNumber"""
39,Max MSRP per product line,Find maximum MSRP grouped by product line,products,"productLine, MAX(MSRP)",None,None
40,Min buy price per vendor,Find minimum buy price grouped by vendor,products,"productVendor, MIN(buyPrice)",None,None
41,Total number of customers,Count all customers,customers,COUNT(customerNumber),None,None
42,Total number of products,Count all products,products,COUNT(productCode),None,None
43,Total revenue from payments,Calculate total revenue from all payments,payments,SUM(amount),None,None
44,Average product price,Calculate average product buy price,products,AVG(buyPrice),None,None
45,Max payment amount,Find maximum payment amount,payments,MAX(amount),None,None
46,Min payment amount,Find minimum payment amount,payments,MIN(amount),None,None
47,Count total orders,Count all orders,orders,COUNT(orderNumber),None,None
48,Total quantity in stock,Calculate total quantity available in stock,products,SUM(quantityInStock),None,None
49,Average MSRP,Calculate average MSRP,products,AVG(MSRP),None,None
50,Number of employees,Count all employees,employees,COUNT(employeeNumber),None,None
